Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event in this window(ms), Entire Average latency per event for the run(ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,350,350,28.493,365.7413,365.7413,10000,365,365,365,365,365,365
2,5793,661,30.221,292.4452,329.09325,20000,365,365,365,293,293,293
3,5154,932,32.162,527.9138,395.36676666666665,30000,395,395,395,527,527,527
4,7189,1192,33.554,814.7994,500.224925,40000,501,501,501,815,815,815
5,12062,1454,34.385,717.8968,543.7593,50000,543,543,543,719,719,719
6,12269,1704,35.201,611.98,555.1294166666667,60000,543,555,555,611,611,611
7,12195,1943,36.021,732.6743,580.4929714285714,70000,555,583,583,735,735,735
8,10881,2165,36.94,948.8415,626.5365375,80000,583,627,627,951,951,951
9,11695,2381,37.795,990.4134,666.9673,90000,627,667,667,991,991,991
10,11185,2584,38.69,1132.143,713.48487,100000,667,715,715,1135,1135,1135
11,10235,2773,39.668,1357.799,772.0588818181818,110000,715,715,775,1359,1359,1359
12,14367,2972,40.364,1681.41,847.8381416666666,120000,775,775,847,1687,1687,1687
13,13986,3164,41.079,1842.5999,924.3582769230769,130000,847,847,927,1847,1847,1847
14,15360,3354,41.73,1838.8955,989.6823642857142,140000,927,927,991,1839,1839,1839
15,11037,3518,42.636,2037.9888,1059.56946,150000,991,991,1063,2039,2039,2039
16,12239,3682,43.454,2428.4072,1145.12181875,160000,991,1063,1151,2431,2431,2431
17,11248,3833,44.343,2702.5621,1236.7359529411765,170000,1063,1151,1239,2703,2703,2703
18,10869,3976,45.263,3176.0669,1344.476561111111,180000,1151,1239,1351,3183,3183,3183
19,13623,4130,45.998,3353.5643,1450.2180210526317,190000,1239,1351,1455,3359,3359,3359
20,12391,4272,46.806,3441.7728,1549.79576,200000,1351,1455,1551,3455,3455,3455
21,13192,4415,47.564,3626.8313,1648.7022142857143,210000,1455,1551,1655,3631,3631,3631
22,15060,4561,48.229,3741.472,1743.8281136363637,220000,1551,1655,1743,3743,3743,3743
23,15625,4706,48.869,3798.3159,1833.1536695652173,230000,1655,1743,1839,3807,3807,3807
24,14556,4843,49.556,3865.5567,1917.8371291666667,240000,1743,1839,1919,3871,3871,3871
25,16181,4982,50.174,3951.6996,1999.191628,250000,1839,1919,1999,3951,3951,3951
26,12091,5097,51.001,4162.1136,2082.380934615385,260000,1839,1999,2095,4191,4191,4191
27,13888,5220,51.722,4354.9894,2166.5516185185184,270000,1919,2095,2175,4383,4383,4383
28,13831,5338,52.445,4531.1891,2251.002957142857,280000,1999,2175,2255,4543,4543,4543
29,15625,5462,53.085,4670.916,2334.448234482759,290000,2095,2255,2335,4671,4671,4671
30,14513,5578,53.774,4773.9723,2415.7657033333335,300000,2175,2335,2415,4799,4799,4799
31,13605,5687,54.509,4980.2101,2498.4897161290323,310000,2255,2335,2511,4991,4991,4991
32,14409,5796,55.203,5267.2744,2585.0142375,320000,2335,2415,2591,5279,5279,5279
33,15649,5909,55.842,5476.2989,2672.628924242424,330000,2415,2511,2687,5503,5503,5503
34,13623,6009,56.576,5635.4267,2759.770035294118,340000,2511,2591,2767,5663,5663,5663
35,16420,6120,57.185,5771.5576,2845.821108571429,350000,2591,2687,2847,5791,5791,5791
36,14705,6221,57.865,5833.8644,2928.822311111111,360000,2591,2767,2943,5855,5855,5855
37,15847,6325,58.496,5926.4454,3009.8391513513516,370000,2687,2847,3023,5951,5951,5951
38,14492,6420,59.186,6134.05,3092.0552263157897,380000,2767,2943,3103,6143,6143,6143
39,17006,6524,59.774,6221.7181,3172.3029923076924,390000,2847,3023,3183,6239,6239,6239
40,16339,6624,60.386,6351.4888,3251.7826375,400000,2943,3103,3263,6367,6367,6367
41,13986,6710,61.102,6468.7138,3330.2443731707317,410000,3023,3183,3343,6495,6495,6495
42,16722,6807,61.7,6503.114,3405.7888880952382,420000,3103,3263,3407,6527,6527,6527
43,14858,6893,62.375,6653.7502,3481.3228720930233,430000,3183,3343,3487,6655,6655,6655
44,14992,6979,63.043,6863.1905,3558.1835,440000,3263,3407,3567,6879,6879,6879
45,19342,7079,63.561,6897.3145,3632.386411111111,450000,3343,3487,3647,6911,6911,6911
46,16556,7169,64.165,6855.0696,3702.4447413043476,460000,3343,3567,3711,6879,6879,6879
47,13458,7241,64.908,6821.5353,3768.808370212766,470000,3407,3647,3775,6847,6847,6847
48,16393,7326,65.518,6961.624,3835.3253625,480000,3487,3711,3839,6975,6975,6975
49,16638,7410,66.12,6895.4951,3897.777806122449,490000,3567,3775,3903,6911,6911,6911
50,16638,7493,66.721,6620.4652,3952.231554,500000,3647,3839,3967,6623,6623,6623
51,16103,7573,67.343,6741.2546,4006.9182803921567,510000,3711,3839,3967,6751,6751,6751
52,17421,7656,67.917,6819.8836,4061.0137673076924,520000,3775,3903,4015,6847,6847,6847
53,15082,7728,68.58,6597.4341,4108.8707547169815,530000,3839,3967,4063,6623,6623,6623
54,15313,7799,69.233,6632.5186,4155.604974074074,540000,3903,4015,4127,6655,6655,6655
55,19230,7884,69.754,6700.8695,4201.882510909091,550000,3967,4063,4159,6719,6719,6719
56,15243,7953,70.41,6644.4943,4245.500578571428,560000,3967,4127,4223,6655,6655,6655
57,15898,8023,71.04,6644.7953,4287.593468421052,570000,4015,4159,4255,6655,6655,6655
58,17921,8100,71.598,6736.8225,4329.821555172413,580000,4063,4223,4287,6751,6751,6751
59,16286,8170,72.212,6669.3033,4369.473788135593,590000,4127,4255,4351,6687,6687,6687
60,17730,8244,72.776,6446.5092,4404.091045,600000,4159,4287,4383,6463,6463,6463
61,11737,8284,73.628,6629.5604,4440.574149180328,610000,4223,4351,4415,6655,6655,6655
62,14104,8340,74.337,6888.9648,4480.064320967742,620000,4255,4383,4447,6911,6911,6911
63,13513,8391,75.077,6795.9535,4516.824466666667,630000,4287,4415,4511,6815,6815,6815
64,15948,8453,75.705,7063.3143,4556.6133703125,640000,4351,4447,4543,7071,7071,7071
65,18348,8524,76.25,7071.1345,4595.298310769231,650000,4383,4511,4575,7071,7071,7071
66,14727,8579,76.929,6953.9388,4631.035287878788,660000,4383,4543,4607,6975,6975,6975
67,14184,8630,77.634,7046.0039,4667.079595522388,670000,4415,4575,4639,7071,7071,7071
68,18083,8697,78.187,7148.0603,4703.564605882353,680000,4447,4607,4671,7167,7167,7167
69,15748,8753,78.822,7100.1662,4738.29796231884,690000,4511,4639,4703,7103,7103,7103
70,16501,8813,79.428,7023.6443,4770.945767142857,700000,4543,4671,4767,7039,7039,7039
71,17825,8876,79.989,7159.6738,4804.589823943662,710000,4575,4671,4799,7167,7167,7167
72,16025,8931,80.613,7071.1328,4836.0695875,720000,4607,4703,4831,7071,7071,7071
73,16155,8986,81.233,6605.5083,4860.308473972603,730000,4639,4767,4863,6623,6623,6623
74,15898,9039,81.863,6705.797,4885.247508108108,740000,4671,4799,4863,6719,6719,6719
75,15673,9090,82.501,6725.5014,4909.784226666667,750000,4703,4831,4895,6751,6751,6751
76,16420,9144,83.11,6636.8136,4932.508297368421,760000,4703,4863,4927,6655,6655,6655
77,13333,9181,83.86,6790.1253,4956.633193506494,770000,4767,4863,4959,6815,6815,6815
78,16155,9233,84.479,6879.3665,4981.283620512821,780000,4799,4895,4959,6879,6879,6879
79,15576,9280,85.121,6745.3066,5003.613025316456,790000,4831,4927,4991,6751,6751,6751
80,16000,9329,85.746,6723.9743,5025.11754125,800000,4863,4959,5023,6751,6751,6751
81,18050,9385,86.301,6869.0446,5047.882072839506,810000,4863,4959,5055,6879,6879,6879
82,15432,9430,86.949,6890.2024,5070.349393902439,820000,4895,4991,5055,6911,6911,6911
83,15174,9474,87.608,6784.6096,5091.003131325301,830000,4927,5023,5087,6815,6815,6815
84,16891,9523,88.2,6923.8321,5112.822523809524,840000,4959,5055,5119,6943,6943,6943
85,16000,9569,88.825,6968.8214,5134.657804705882,850000,4959,5055,5119,6975,6975,6975
86,16260,9615,89.44,6749.4017,5153.433896511628,860000,4959,5087,5151,6751,6751,6751
87,16207,9660,90.059,6838.4415,5172.8018,870000,4991,5119,5183,6847,6847,6847
88,16051,9704,90.682,6778.1536,5191.044434090909,880000,5023,5119,5183,6783,6783,6783
89,14104,9738,91.391,6599.5309,5206.870124719101,890000,5055,5151,5215,6623,6623,6623
90,17064,9785,91.977,6664.1434,5223.06205,900000,5055,5183,5215,6687,6687,6687
91,19801,9839,92.482,6722.3743,5239.538008791209,910000,5087,5183,5247,6751,6751,6751
92,15772,9880,93.116,6609.921,5254.433476086957,920000,5119,5183,5247,6623,6623,6623
93,16051,9921,93.739,6636.8449,5269.2981150537635,930000,5119,5215,5279,6655,6655,6655
94,16949,9965,94.329,6749.301,5285.042826595744,940000,5151,5215,5279,6751,6751,6751
95,17331,10009,94.906,6682.2699,5299.75048,950000,5183,5247,5311,6687,6687,6687
96,15197,10045,95.564,6497.3745,5312.2257302083335,960000,5183,5247,5311,6527,6527,6527
97,14970,10079,96.232,6763.0945,5327.183140206185,970000,5183,5279,5343,6783,6783,6783
98,15015,10113,96.898,6788.1709,5342.091178571429,980000,5215,5279,5343,6815,6815,6815
99,12853,10135,97.676,6695.011,5355.757035353536,990000,5215,5311,5343,6719,6719,6719
100,11402,10146,98.553,6931.8288,5371.517753,1000000,5247,5311,5375,6943,6943,6943
101,17889,10190,99.112,7147.8452,5389.105153465346,1010000,5247,5343,5375,7167,7167,7167
102,12903,10211,99.887,7086.8117,5405.749335294117,1020000,5279,5343,5407,7103,7103,7103
103,12254,10227,100.705,7285.9366,5424.003580582525,1030000,5279,5343,5407,7295,7295,7295
104,22624,10281,101.148,7407.1363,5443.072164423077,1040000,5311,5375,5439,7423,7423,7423
105,10277,10281,102.121,7478.7622,5462.459688571428,1050000,5311,5375,5471,7487,7487,7487
106,10319,10282,103.09,7744.1877,5483.985424528302,1060000,5311,5407,5471,7775,7775,7775
107,11560,10292,103.956,8180.0455,5509.182247663552,1070000,5343,5407,5503,8191,8191,8191
108,10245,10292,104.932,8510.8875,5536.975814814815,1080000,5343,5439,5535,8511,8511,8511
109,13586,10315,105.668,8492.9497,5564.094841284404,1090000,5343,5471,5567,8511,8511,8511
110,12953,10334,106.44,8612.6714,5591.809173636364,1100000,5375,5471,5567,8639,8639,8639
111,16155,10368,107.059,8640.3182,5619.273218918919,1110000,5375,5471,5599,8703,8703,8703
112,14925,10396,107.729,8317.8354,5643.367524107143,1120000,5407,5503,5631,8319,8319,8319
113,17452,10433,108.302,8316.2151,5667.021042477876,1130000,5407,5535,5663,8319,8319,8319
114,17857,10471,108.862,8352.7454,5690.580028070175,1140000,5439,5567,5695,8383,8383,8383
115,13966,10494,109.578,8205.5265,5712.449127826087,1150000,5471,5567,5695,8255,8255,8255
116,15625,10524,110.218,8243.2152,5734.266076724138,1160000,5471,5599,5727,8255,8255,8255
117,12836,10540,110.997,8152.0184,5754.930626495727,1170000,5471,5631,5759,8159,8159,8159
118,9523,10531,112.047,8088.6142,5774.7076059322035,1180000,5503,5663,5759,8095,8095,8095
119,15060,10557,112.711,7514.96,5789.331575630252,1190000,5535,5695,5791,7519,7519,7519
120,19267,10597,113.231,7471.8769,5803.352786666666,1200000,5567,5695,5791,7487,7487,7487
121,15082,10623,113.894,7424.0535,5816.747007438016,1210000,5567,5727,5823,7455,7455,7455
122,14577,10647,114.58,7121.765,5827.4438762295085,1220000,5599,5759,5823,7135,7135,7135
123,11947,10657,115.417,7362.9914,5839.928002439025,1230000,5631,5759,5855,7391,7391,7391
124,10917,10659,116.333,7788.1728,5855.6396540322585,1240000,5663,5791,5855,7807,7807,7807
125,8605,10638,117.495,8224.2931,5874.5888816,1250000,5695,5791,5855,8255,8255,8255
126,10405,10636,118.456,8636.3213,5896.507392857143,1260000,5695,5823,5887,8639,8639,8639
127,14903,10660,119.127,8863.2604,5919.8676527559055,1270000,5695,5823,5919,8895,8895,8895
128,12562,10673,119.923,8780.0756,5942.21302734375,1280000,5727,5855,5919,8831,8831,8831
129,11655,10680,120.781,8540.9277,5962.358102325581,1290000,5759,5855,5951,8575,8575,8575
130,13755,10698,121.508,8734.9176,5983.685483076923,1300000,5759,5855,5983,8767,8767,8767
131,14224,10719,122.211,8840.8136,6005.495621374046,1310000,5791,5855,5983,8895,8895,8895
132,11481,10724,123.082,8911.8341,6027.513337121212,1320000,5791,5887,6015,8959,8959,8959
133,15267,10748,123.737,9136.5971,6050.889906766917,1330000,5823,5919,6047,9151,9151,9151
134,9587,10738,124.78,9212.7648,6074.485988059701,1340000,5823,5919,6079,9215,9215,9215
135,19193,10773,125.302,8802.7201,6094.695129629629,1350000,5855,5951,6079,8831,8831,8831
136,16181,10800,125.92,8498.904,6112.373136029411,1360000,5855,5983,6111,8511,8511,8511
137,15576,10824,126.562,8283.1807,6128.218446715328,1370000,5855,5983,6143,8319,8319,8319
138,14471,10844,127.253,7856.0983,6140.739315217391,1380000,5855,6015,6143,7871,7871,7871
139,13642,10860,127.986,7701.8866,6151.970590647482,1390000,5887,6047,6143,7711,7711,7711
140,9225,10846,129.07,8138.1659,6166.1577,1400000,5919,6079,6175,8159,8159,8159
141,16420,10873,129.679,8101.6915,6179.884890070922,1410000,5919,6079,6175,8127,8127,8127
142,15552,10896,130.322,7831.6477,6191.517022535211,1420000,5951,6111,6207,7839,7839,7839
143,15128,10917,130.983,7844.0931,6203.073498601399,1430000,5983,6143,6207,7871,7871,7871
144,11918,10923,131.822,7862.9683,6214.600545833333,1440000,5983,6143,6207,7871,7871,7871
145,16233,10948,132.439,7706.2724,6224.887937931035,1450000,6015,6143,6239,7711,7711,7711
146,12547,10957,133.236,7847.7735,6236.003592465753,1460000,6015,6175,6239,7871,7871,7871
147,15151,10978,133.896,7903.6668,6247.348240136054,1470000,6047,6175,6239,7903,7903,7903
148,15197,10999,134.555,7800.3888,6257.841757432432,1480000,6079,6207,6271,7807,7807,7807
149,13245,11011,135.31,7890.5687,6268.799656375839,1490000,6079,6207,6271,7903,7903,7903
150,17793,11039,135.872,8023.1033,6280.495014,1500000,6111,6207,6271,8031,8031,8031
151,16393,11063,136.482,7606.6393,6289.277426490066,1510000,6143,6207,6271,7615,7615,7615
152,12091,11069,137.309,7306.1995,6295.967703289473,1520000,6143,6239,6303,7327,7327,7327
153,13404,11082,138.055,7501.738,6303.848554901961,1530000,6143,6239,6303,7519,7519,7519
154,15015,11101,138.721,7711.6215,6312.989937662338,1540000,6175,6239,6303,7711,7711,7711
155,15576,11122,139.363,7420.6202,6320.135939354839,1550000,6175,6271,6303,7423,7423,7423
156,15455,11142,140.01,7485.2715,6327.604757051282,1560000,6175,6271,6335,7487,7487,7487
157,18832,11171,140.541,7406.8458,6334.478903821656,1570000,6207,6271,6335,7423,7423,7423
158,10976,11169,141.452,7241.7487,6340.221117721519,1580000,6207,6303,6335,7263,7263,7263
159,13422,11181,142.197,7593.0156,6348.100328301887,1590000,6207,6303,6335,7615,7615,7615
160,14814,11198,142.872,7558.3359,6355.664300625,1600000,6239,6303,6367,7583,7583,7583
161,15128,11216,143.533,7419.3436,6362.271004347826,1610000,6239,6303,6367,7423,7423,7423
162,10020,11208,144.532,7421.1503,6368.807296296296,1620000,6239,6335,6367,7423,7423,7423
163,22222,11242,144.982,7815.8552,6377.684890797546,1630000,6271,6335,6367,7839,7839,7839
164,14619,11258,145.666,7611.985,6385.21111097561,1640000,6271,6335,6399,7615,7615,7615
165,14705,11274,146.346,7419.0978,6391.477090909091,1650000,6271,6335,6399,7423,7423,7423
166,17301,11298,146.924,7535.9686,6398.3716180722895,1660000,6271,6367,6399,7551,7551,7551
167,15360,11316,147.575,7478.2327,6404.837852095809,1670000,6303,6367,6399,7487,7487,7487
168,15360,11333,148.227,7317.1142,6410.268068452381,1680000,6303,6367,6399,7327,7327,7327
169,17543,11357,148.798,7362.1342,6415.9004124260355,1690000,6303,6367,6431,7391,7391,7391
170,16366,11378,149.409,7233.5085,6420.709871764706,1700000,6303,6399,6431,7263,7263,7263
171,16181,11397,150.027,6982.5047,6423.995221637427,1710000,6335,6399,6431,7007,7007,7007
172,15432,11415,150.675,7093.5468,6427.887963372093,1720000,6335,6399,6431,7103,7103,7103
173,16694,11436,151.274,7189.1965,6432.288590751445,1730000,6335,6399,6431,7199,7199,7199
174,17182,11458,151.856,6870.7049,6434.808224712644,1740000,6335,6399,6431,6879,6879,6879
175,15197,11474,152.514,6700.3737,6436.325741714286,1750000,6367,6399,6463,6719,6719,6719
176,19920,11501,153.017,6769.6156,6438.219434090909,1760000,6367,6431,6463,6783,6783,6783
177,18315,11526,153.563,6622.2096,6439.258926553673,1770000,6367,6431,6463,6623,6623,6623
178,15015,11541,154.229,6452.2016,6439.331638202248,1780000,6367,6431,6463,6463,6463,6463
179,18148,11564,154.78,6591.1636,6440.179861452514,1790000,6367,6431,6463,6591,6591,6591
180,16339,11583,155.392,6634.5788,6441.259855555556,1800000,6399,6431,6463,6655,6655,6655
181,17391,11605,155.967,6351.6234,6440.764626519337,1810000,6399,6431,6463,6367,6367,6367
182,15128,11619,156.628,6473.5661,6440.944854395604,1820000,6399,6463,6463,6495,6495,6495
183,19193,11644,157.149,6517.9815,6441.365819672131,1830000,6399,6463,6463,6527,6527,6527
184,15576,11660,157.791,6361.2547,6440.9304331521735,1840000,6399,6463,6463,6367,6367,6367
185,15082,11675,158.454,6447.7206,6440.967136756757,1850000,6431,6463,6463,6463,6463,6463
186,20491,11702,158.942,6506.7848,6441.320995161291,1860000,6431,6463,6463,6527,6527,6527
187,17985,11724,159.498,6371.7898,6440.949170588236,1870000,6431,6463,6463,6399,6399,6399
188,15527,11739,160.142,6241.781,6439.889765425532,1880000,6431,6463,6463,6271,6271,6271
189,18903,11763,160.672,6405.8549,6439.709686772487,1890000,6431,6463,6463,6431,6431,6431
190,15151,11776,161.332,6450.0306,6439.764007368421,1900000,6431,6463,6463,6463,6463,6463
191,14970,11790,162.0,6333.4597,6439.207440314136,1910000,6431,6463,6463,6335,6335,6335
192,15948,11806,162.627,6511.2814,6439.5828255208335,1920000,6463,6463,6463,6527,6527,6527
193,17605,11826,163.196,6624.036,6440.538541450777,1930000,6463,6463,6463,6655,6655,6655
194,17953,11847,163.753,6411.255,6440.387595360825,1940000,6463,6463,6463,6431,6431,6431
195,15151,11860,164.414,6507.0218,6440.729309230769,1950000,6463,6463,6463,6527,6527,6527
196,17761,11880,164.977,6611.4009,6441.600082653061,1960000,6463,6463,6463,6623,6623,6623
197,15220,11893,165.634,6531.0336,6442.054059898477,1970000,6463,6463,6463,6559,6559,6559
198,15898,11908,166.263,6560.6355,6442.652956060606,1980000,6463,6463,6463,6591,6591,6591
199,17985,11929,166.819,6671.6543,6443.803716582915,1990000,6463,6463,6463,6687,6687,6687
200,16129,11944,167.439,6653.2194,6444.850795,2000000,6463,6463,6463,6655,6655,6655
201,12642,11947,168.23,6620.3457,6445.7239039801,2010000,6463,6463,6463,6623,6623,6623
202,17152,11965,168.813,6818.0861,6447.567281188119,2020000,6463,6463,6463,6847,6847,6847
203,19011,11987,169.339,6810.7456,6449.3563369458125,2030000,6463,6463,6463,6815,6815,6815
204,15847,12002,169.97,6517.0835,6449.688332843138,2040000,6463,6463,6463,6527,6527,6527
205,17921,12021,170.528,6634.5538,6450.590115609756,2050000,6463,6463,6463,6655,6655,6655
206,18761,12042,171.061,6686.0674,6451.733209223301,2060000,6463,6463,6463,6687,6687,6687
207,15923,12056,171.689,6517.9642,6452.053165700483,2070000,6463,6463,6463,6527,6527,6527
208,17513,12074,172.26,6579.8727,6452.667682692308,2080000,6463,6463,6463,6591,6591,6591
209,15847,12088,172.892,6651.5974,6453.619499521531,2090000,6463,6463,6463,6655,6655,6655
210,17035,12105,173.479,6586.0087,6454.249924285714,2100000,6463,6463,6463,6591,6591,6591
211,15337,12117,174.131,6512.312,6454.5251,2110000,6463,6463,6463,6527,6527,6527
212,21052,12141,174.606,6487.4273,6454.680299056604,2120000,6463,6463,6463,6495,6495,6495
213,15552,12154,175.249,6390.8471,6454.380612676056,2130000,6463,6463,6463,6399,6399,6399
214,16920,12170,175.84,6221.1766,6453.290874299066,2140000,6463,6463,6463,6239,6239,6239
215,19646,12191,176.349,6348.8228,6452.80497627907,2150000,6463,6463,6463,6367,6367,6367
216,17921,12209,176.907,6414.301,6452.6267171296295,2160000,6463,6463,6463,6431,6431,6431
217,15527,12221,177.552,6228.4284,6451.59354516129,2170000,6463,6463,6463,6239,6239,6239
218,15384,12233,178.202,6411.3321,6451.4088596330275,2180000,6463,6463,6463,6431,6431,6431
219,15923,12246,178.83,6496.0479,6451.61269086758,2190000,6463,6463,6463,6527,6527,6527
220,15384,12257,179.48,6429.308,6451.511305909091,2200000,6463,6463,6463,6431,6431,6431
221,15220,12268,180.137,6516.9685,6451.807492307692,2210000,6463,6463,6463,6527,6527,6527
222,19193,12288,180.658,6671.876,6452.798791891892,2220000,6463,6463,6463,6687,6687,6687
223,15082,12298,181.322,6592.5557,6453.425504484305,2230000,6463,6463,6463,6623,6623,6623
224,15948,12311,181.949,6522.8725,6453.735535714286,2240000,6463,6463,6463,6527,6527,6527
225,17636,12327,182.517,6636.3111,6454.546982666667,2250000,6463,6463,6463,6655,6655,6655
226,17543,12343,183.087,6659.9184,6455.455705752212,2260000,6463,6463,6463,6687,6687,6687
227,16103,12356,183.708,6521.0016,6455.744454185022,2270000,6463,6463,6463,6527,6527,6527
228,14880,12365,184.38,6709.7395,6456.85846754386,2280000,6463,6463,6463,6719,6719,6719
229,16611,12379,184.982,6817.6498,6458.433975545851,2290000,6463,6463,6463,6847,6847,6847
230,13831,12385,185.705,6630.2967,6459.181204782609,2300000,6463,6463,6463,6655,6655,6655
231,14641,12393,186.388,6720.3,6460.31158917749,2310000,6463,6463,6463,6751,6751,6751
232,16611,12407,186.99,6876.1515,6462.104002586207,2320000,6463,6463,6463,6879,6879,6879
233,11337,12402,187.872,6844.9614,6463.747167381975,2330000,6463,6463,6463,6847,6847,6847
234,12755,12403,188.656,7078.271,6466.373337606838,2340000,6463,6463,6463,7103,7103,7103
235,15082,12412,189.319,7315.5498,6469.986854468085,2350000,6463,6463,6463,7327,7327,7327
236,14556,12420,190.006,7304.5333,6473.523068220339,2360000,6463,6463,6495,7327,7327,7327
237,16835,12434,190.6,7217.8617,6476.6637375527425,2370000,6463,6463,6495,7231,7231,7231
238,15015,12443,191.266,7382.9906,6480.471833613446,2380000,6463,6463,6495,7391,7391,7391
239,18450,12460,191.808,7426.9093,6484.431823012553,2390000,6463,6463,6495,7455,7455,7455
240,16611,12473,192.41,7169.8082,6487.287557916667,2400000,6463,6463,6495,7199,7199,7199
241,16339,12485,193.022,7244.94,6490.431343983402,2410000,6463,6463,6495,7263,7263,7263
242,16722,12498,193.62,7232.1174,6493.496162396694,2420000,6463,6463,6495,7263,7263,7263
243,14492,12505,194.31,6971.0477,6495.461395061729,2430000,6463,6463,6495,6975,6975,6975
244,13513,12509,195.05,6972.2134,6497.415296721311,2440000,6463,6463,6495,6975,6975,6975
245,17574,12524,195.62,7019.2212,6499.545116734694,2450000,6463,6463,6495,7039,7039,7039
246,15243,12533,196.276,6742.0223,6500.530796341463,2460000,6463,6495,6527,6751,6751,6751
247,15313,12542,196.929,6686.6951,6501.284497975708,2470000,6463,6495,6527,6687,6687,6687
248,17730,12557,197.494,6799.4608,6502.486821774193,2480000,6463,6495,6527,6815,6815,6815
249,8673,12534,198.647,7177.7276,6505.198632128514,2490000,6463,6495,6527,7199,7199,7199
250,9920,12521,199.655,7351.1225,6508.5823276,2500000,6463,6495,6527,7359,7359,7359
251,5583,12459,201.447,8303.3773,6515.732905179283,2510000,6463,6495,6527,8319,8319,8319
252,15479,12461,202.23,9140.7326,6526.149570634921,2520000,6463,6495,6527,9151,9151,9151
253,13531,12464,202.969,9035.9649,6536.069789328063,2530000,6463,6495,6527,9087,9087,9087
254,8488,12442,204.147,9443.1247,6547.514887401575,2540000,6463,6495,6527,9471,9471,9471
255,7674,12411,205.45,10084.3185,6561.384705490196,2550000,6463,6495,6527,10111,10111,10111
256,11778,12409,206.299,10393.2793,6576.35304375,2560000,6463,6495,6559,10431,10431,10431
257,12165,12408,207.122,10760.7624,6592.634792217898,2570000,6463,6527,6559,10815,10815,10815
258,1917,12150,212.336,15385.0478,6626.713912403101,2580000,6463,6527,6591,15423,15423,15423
259,14684,12158,213.017,15435.1586,6660.723351351351,2590000,6463,6527,6591,15487,15487,15487
260,16920,12171,213.609,15329.0594,6694.0631053846155,2600000,6495,6527,6623,15359,15359,15359
261,20876,12191,214.088,15135.5373,6726.405918390805,2610000,6495,6527,6655,15167,15167,15167
262,14144,12197,214.795,14677.8487,6756.754936641221,2620000,6495,6527,6687,14719,14719,14719
263,16207,12209,215.412,13057.4074,6780.711790114068,2630000,6495,6527,6719,13119,13119,13119
264,15923,12219,216.04,13136.7449,6804.7876731060605,2640000,6495,6527,6751,13183,13183,13183
265,17391,12233,216.615,13111.4157,6828.586269433962,2650000,6495,6527,6783,13119,13119,13119
266,17985,12248,217.171,11704.9507,6846.918466541353,2660000,6495,6559,6783,11711,11711,11711
267,15673,12258,217.809,11540.7642,6864.498413108614,2670000,6495,6559,6815,11583,11583,11583
268,16000,12269,218.434,11536.3731,6881.930781343283,2680000,6495,6591,6847,11583,11583,11583
269,17361,12282,219.01,8688.9364,6888.6482743494425,2690000,6495,6591,6847,8703,8703,8703
270,16207,12293,219.627,6553.1443,6887.405667037037,2700000,6495,6623,6879,6559,6559,6559
271,16666,12305,220.227,6607.2963,6886.372053136532,2710000,6527,6623,6911,6623,6623,6623
272,17730,12319,220.791,6591.9357,6885.289566544117,2720000,6527,6655,6911,6591,6591,6591
273,13333,12322,221.541,6476.6854,6883.792847985348,2730000,6527,6687,6911,6495,6495,6495
274,19342,12339,222.058,6650.8501,6882.942691970803,2740000,6527,6719,6911,6655,6655,6655
275,15797,12348,222.691,6732.496,6882.395613090909,2750000,6527,6751,6911,6751,6751,6751
276,17301,12361,223.269,6421.521,6880.725777536232,2760000,6527,6783,6911,6431,6431,6431
277,17271,12374,223.848,6574.5221,6879.620349097473,2770000,6527,6783,6911,6591,6591,6591
278,16339,12385,224.46,6672.8014,6878.876396043165,2780000,6527,6815,6911,6687,6687,6687
279,16051,12395,225.083,6549.7943,6877.696890322581,2790000,6527,6847,6911,6559,6559,6559
280,15974,12405,225.709,6558.3611,6876.5564053571425,2800000,6527,6847,6911,6559,6559,6559
281,21413,12423,226.176,6607.4654,6875.598786120996,2810000,6559,6879,6911,6623,6623,6623
282,16181,12434,226.794,6499.9321,6874.266634751773,2820000,6559,6879,6911,6527,6527,6527
283,16638,12445,227.396,6426.664,6872.685,2830000,6591,6879,6911,6431,6431,6431
284,14471,12451,228.087,6587.2026,6871.67978028169,2840000,6591,6879,6911,6591,6591,6591
285,16611,12462,228.689,6695.99,6871.063324912281,2850000,6623,6879,6911,6719,6719,6719
286,16155,12472,229.308,6455.5095,6869.610339510489,2860000,6623,6879,6911,6463,6463,6463
287,16501,12482,229.914,6583.7327,6868.614250174216,2870000,6655,6879,6911,6591,6591,6591
